file_path,emotion
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\kannada_emotion\13-06-06.wav,fear
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_03\03-01-06-01-01-02-03.wav,fear
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_02\03-01-04-01-02-02-02.wav,sad
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_02\03-01-05-02-02-02-02.wav,angry
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\kannada_emotion\07-06-02.wav,fear
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_23\03-01-05-01-01-01-23.wav,angry
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_07\03-01-03-01-01-01-07.wav,happy
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_14\03-01-03-02-02-01-14.wav,happy
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\kannada_emotion\02-06-05.wav,fear
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\kannada_emotion\03-03-02.wav,happy
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\kannada_emotion\03-04-01.wav,sad
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\kannada_emotion\05-05-04.wav,angry
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\kannada_emotion\13-01-05.wav,neutral
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_13\03-01-05-01-01-02-13.wav,angry
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_16\03-01-06-02-01-01-16.wav,fear
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\kannada_emotion\02-04-06.wav,sad
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_16\03-01-05-02-02-02-16.wav,angry
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_08\03-01-05-01-02-02-08.wav,angry
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_17\03-01-04-01-01-01-17.wav,sad
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\kannada_emotion\11-06-02.wav,fear
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\kannada_emotion\04-04-05.wav,sad
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_11\03-01-01-01-01-02-11.wav,neutral
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_21\03-01-05-01-01-02-21.wav,angry
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_18\03-01-03-02-02-01-18.wav,happy
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\kannada_emotion\07-03-04.wav,happy
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_11\03-01-06-02-02-01-11.wav,fear
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_23\03-01-06-01-01-01-23.wav,fear
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_15\03-01-04-01-02-02-15.wav,sad
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_19\03-01-01-01-02-02-19.wav,neutral
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_02\03-01-03-01-02-02-02.wav,happy
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_13\03-01-04-01-02-02-13.wav,sad
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_22\03-01-06-01-01-02-22.wav,fear
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_18\03-01-05-01-02-01-18.wav,angry
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_12\03-01-05-02-02-01-12.wav,angry
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_19\03-01-03-01-02-01-19.wav,happy
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_10\03-01-01-01-02-02-10.wav,neutral
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_06\03-01-04-02-01-01-06.wav,sad
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\kannada_emotion\12-05-02.wav,angry
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_05\03-01-05-02-01-01-05.wav,angry
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_07\03-01-04-01-02-02-07.wav,sad
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\kannada_emotion\12-05-03.wav,angry
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_18\03-01-04-01-02-01-18.wav,sad
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_05\03-01-06-01-02-01-05.wav,fear
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_04\03-01-04-01-02-02-04.wav,sad
C:\Users\Lenovo\Desktop\kannada speech recog\datasets\ravdess\Actor_06\03-01-04-02-02-01-06.wav,sad
